076b	FL27544706	3943x5143
077a	FL27544724	4288x5470
077b	FL27544739	4015x5410
078a	FL27544759	4015x5410
078b	FL27544781	4015x5410
079a	FL27544799	4015x5410
079b	FL27544816	4015x5410
080a	FL27544832	4015x5410
080b	FL27544845	4015x5410
081a	FL27544865	4015x5410
081b	FL27544882	4015x5410
082a	FL27544895	4015x5410
082b	FL27544915	4015x5410
083a	FL27544924	4015x5410
083b	FL27544941	4015x5410
084a	FL27544959	4015x5410
084b	FL27544973	4015x5410
085a	FL27544988	4015x5410
085b	FL27545007	4015x5410
086a	FL27545017	4015x5410
086b	FL27545037	4015x5410
087a	FL27545057	4015x5410
087b	FL27545078	4015x5410
088a	FL27545088	4015x5410
088b	FL27545111	4015x5410
089a	FL27545127	4015x5410
089b	FL27545139	4015x5410
090a	FL27545155	4015x5410
090b	FL27545175	4015x5410
091a	FL27545194	4015x5410
091b	FL27545204	4015x5410
092a	FL27545226	4015x5410
092b	FL27545243	4015x5410
093a	FL27545258	4015x5410
093b	FL27545272	4015x5410
094a	FL27545288	4015x5410
094b	FL27545303	4015x5410
095a	FL27545318	4015x5410
095b	FL27545336	4015x5410
096a	FL27545351	4015x5410
096b	FL27545366	4015x5410
097a	FL27545384	4015x5410
097b	FL27545400	4015x5410
